Mærke,Navn,Adresse,Postnr,By,Latitude,Longitude
OK,OK Hanstholm,"Bytorvet 101, 7730 Hanstholm",7730,Hanstholm,57.113858,8.605608
OK,OK Frøstrup,"Søndergade 17, 7741 Frøstrup",7741,Frøstrup,57.085941,8.994799
OK,OK Vesløs,"Aalborgvej 187, 7742 Vesløs",7742,Vesløs,57.035782,8.969557
OK,OK Hurup Thy,"Mejerivej 3, 7760 Hurup Thy",7760,Hurup Thy,56.749851,8.42201
OK,OK Skive,"Frugtparken 3, 7800 Skive",7800,Skive,56.585199,9.027635
OK,OK Skive,"Ågade 26, 7800 Skive",7800,Skive,56.567251,9.033377
OK,OK Skive,"Holstebrovej 76D, 7800 Skive",7800,Skive,56.56951,9.003943
OK,OK Skive,"Kåstrupvej 26, 7800 Skive",7800,Skive,56.644588,8.984215
OK,OK Vinderup,"Nylandsvej 11, 7830 Vinderup",7830,Vinderup,56.480826,8.77996
OK,OK Højslev,"Viborgvej 214, 7840 Højslev",7840,Højslev,56.550789,9.108547
OK,OK Stoholm Jyll,"Nørregade 8, 7850 Stoholm Jyll",7850,Stoholm Jyll,56.486011,9.151371
OK,OK Spøttrup,"Grundvadvej 1, 7860 Spøttrup",7860,Spøttrup,56.636055,8.81619
OK,OK Spøttrup,"Skivevej 4, 7860 Spøttrup",7860,Spøttrup,56.613183,8.880496
OK,OK Spøttrup,"Amtsvejen 27A, 7860 Spøttrup",7860,Spøttrup,56.600192,8.756014
OK,OK Roslev,"Aakjærsvej 1, 7870 Roslev",7870,Roslev,56.687564,9.068796
OK,OK Roslev,"Bredgade 4, 7870 Roslev",7870,Roslev,56.761706,8.867045
OK,OK Roslev,"Sallingsundvej 2-, 7870 Roslev",7870,Roslev,56.70153,8.989937
OK,OK Roslev,"Tønderingvej 3-, 7870 Roslev",7870,Roslev,56.743884,8.957356
OK,OK Fur,"Sundevej 3A, 7884 Fur",7884,Fur,56.806203,9.019383
OK,OK Nykøbing M,"Vester Fald 2, 7900 Nykøbing M",7900,Nykøbing M,56.7891,8.828254
OK,OK Erslev,"Præstbrovej 322, 7950 Erslev",7950,Erslev,56.836925,8.717093
OK,OK Øster Assels,"Asselsvej 172, 7990 Øster Assels",7990,Øster Assels,56.701828,8.697331
OK,OK Aarhus N,"Skejbygårdsvej 45, 8200 Aarhus N",8200,Aarhus N,56.194731,10.195133
OK,OK Aarhus N,"Randersvej 346, 8200 Aarhus N",8200,Aarhus N,56.218772,10.167161
OK,OK Aarhus V,"Frydenlunds Allé 7, 8210 Aarhus V",8210,Aarhus V,56.163962,10.174692
OK,OK Brabrand,"Logistikparken 12C, 8220 Brabrand",8220,Brabrand,56.1588,10.0681
OK,OK Brabrand,"Gudrunsvej 7, 8220 Brabrand",8220,Brabrand,56.153418,10.13529
OK,OK Åbyhøj,"Haslevej 3, 8230 Åbyhøj",8230,Åbyhøj,56.156205,10.165038
OK,OK Risskov,"Lystrupvej 62, 8240 Risskov",8240,Risskov,56.208142,10.235775
OK,OK Viby J,"Åhave Parkvej 11, 8260 Viby J",8260,Viby J,56.133428,10.15766
OK,OK Viby J,"Ringvej Syd 100, 8260 Viby J",8260,Viby J,56.117366,10.150814
OK,OK Viby J,"Rosenhøj 2, 8260 Viby J",8260,Viby J,56.112945,10.150755
OK,OK Højbjerg,"Stenvej 19, 8270 Højbjerg",8270,Højbjerg,56.10723,10.20533
OK,OK Odder,"Nørregade 6, 8300 Odder",8300,Odder,55.974253,10.148345
OK,OK Odder,"Hovedgaden 26, 8300 Odder",8300,Odder,55.89346,10.167445
OK,OK Odder,"Rådhusgade 85, 8300 Odder",8300,Odder,55.982792,10.151841
OK,OK Samsø,"Svenskgyden 3, 8305 Samsø",8305,Samsø,55.945806,10.565509
OK,OK Samsø,"Møllebakkevej 1, 8305 Samsø",8305,Samsø,55.830842,10.593346
OK,OK Mårslet,"Hørretvej 8A, 8320 Mårslet",8320,Mårslet,56.06769,10.162472
OK,OK Malling,"Bredgade 44, 8340 Malling",8340,Malling,56.03996,10.193376
OK,OK Solbjerg,"Østergårdsvej 278, 8355 Solbjerg",8355,Solbjerg,56.037261,10.08348
OK,OK Hørning,"Vester Alle 1, 8362 Hørning",8362,Hørning,56.086698,10.039078
OK,OK Hadsten,"Søndergade 15, 8370 Hadsten",8370,Hadsten,56.326518,10.043898
OK,OK Hadsten,"Landevejen 203, 8370 Hadsten",8370,Hadsten,56.311376,10.134589
OK,OK Hadsten,"Hadbjergvej 6, 8370 Hadsten",8370,Hadsten,56.333745,10.051698
OK,OK Trige,"Smedebroen 15, 8380 Trige",8380,Trige,56.252681,10.146303
OK,OK Tilst,"Havkærvej 5, 8381 Tilst",8381,Tilst,56.193244,10.109447
OK,OK Hinnerup,"Samsøvej 28, 8382 Hinnerup",8382,Hinnerup,56.248864,10.071529
OK,OK Ebeltoft,"Østeralle 14, 8400 Ebeltoft",8400,Ebeltoft,56.196434,10.680622
OK,OK Rønde,"Ryomvej 44, 8410 Rønde",8410,Rønde,56.346155,10.456404
